Dakota Mermis	LD3	Gladiators	6
Logan Mailloux	RD3	Gladiators	94
Jake Oettinger	G1	Gladiators	29
Philipp Grubauer	G2	Gladiators	31
Jonathan Huberdeau	LW1	Robbers	10
Roope Hintz	C1	Robbers	24
Mats Zuccarello	RW1	Robbers	36
Jonathan Drouin	LW2	Robbers	27
Macklin Celebrini	C2	Robbers	71
John-Jason Peterka	RW2	Robbers	77
Vladislav Namestnikov	LW3	Robbers	7
Yegor Sharangovich	C3	Robbers	17
Michael Eyssimont	RW3	Robbers	21
Joel Kiviranta	LW4	Robbers	94
Andreas Athanasiou	C4	Robbers	89
Trevor Lewis	RW4	Robbers	61
Quinn Hughes	LD1	Robbers	43
Drew Doughty	RD1	Robbers	8
Rasmus Sandin	LD2	Robbers	38
Mason Lohrei	RD2	Robbers	6
Pavel Mintyukov	LD3	Robbers	34
Marc-Edouard Vlasic	RD3	Robbers	44
Akira Schmid	G1	Robbers	40
Antti Raanta	G2	Robbers	32
Sam Bennett	LW1	Bandits	9
Tim Stützle	C1	Bandits	18
Nathan MacKinnon	RW1	Bandits	29
Connor McMichael	LW2	Bandits	24
